StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
falco-test-dut04,Ethernet0,falco-test-fleaf02,0/1,100000,1681,Access
falco-test-dut04,Ethernet4,falco-test-fleaf02,0/2,100000,1682,Access
falco-test-dut04,Ethernet8,falco-test-fleaf02,0/3,100000,1683,Access
falco-test-dut04,Ethernet12,falco-test-fleaf02,0/4,100000,1684,Access
falco-test-dut04,Ethernet16,falco-test-fleaf02,0/5,100000,1685,Access
falco-test-dut04,Ethernet20,falco-test-fleaf02,0/6,100000,1686,Access
falco-test-dut04,Ethernet24,falco-test-fleaf02,0/7,100000,1687,Access
falco-test-dut04,Ethernet28,falco-test-fleaf02,0/8,100000,1688,Access
falco-test-dut04,Ethernet32,falco-test-fleaf02,0/9,100000,1689,Access
falco-test-dut04,Ethernet36,falco-test-fleaf02,0/10,100000,1690,Access
falco-test-dut04,Ethernet40,falco-test-fleaf02,0/11,100000,1691,Access
falco-test-dut04,Ethernet44,falco-test-fleaf02,0/12,100000,1692,Access
falco-test-dut04,Ethernet48,falco-test-fleaf02,0/13,100000,1693,Access
falco-test-dut04,Ethernet52,falco-test-fleaf02,0/14,100000,1694,Access
falco-test-dut04,Ethernet56,falco-test-fleaf02,0/15,100000,1695,Access
falco-test-dut04,Ethernet60,falco-test-fleaf02,0/16,100000,1696,Access
falco-test-fleaf02,0/32,falco-test-froot02,0/32,100000,,Trunk
falco-test-froot02,0/1,str-acs-serv-08,enp9s0,100000,,Trunk
